Sample_ID,Tissue,Mogat2,Bile_acid,BA_M2
Ce1,Cecum,KO,Low,KOL
Ce2,Cecum,KO,High,KOH
Ce3,Cecum,KO,Low,KOL
Ce4,Cecum,KO,High,KOH
Ce5,Cecum,KO,High,KOH
Ce6,Cecum,WT,Low,WTL
Ce7,Cecum,WT,Low,WTL
Ce8,Cecum,KO,High,KOH
Ce9,Cecum,WT,Low,WTL
Ce10,Cecum,KO,High,KOH
Ce11,Cecum,KO,Low,KOL
Ce12,Cecum,KO,High,KOH
Ce13,Cecum,WT,Low,WTL
Ce14,Cecum,KO,Low,KOL
Ce15,Cecum,KO,High,KOH
Ce16,Cecum,WT,Low,WTL
Ce17,Cecum,WT,Low,WTL
Ce18,Cecum,KO,Low,KOL
Ce19,Cecum,flox,Low,WTL
Ce20,Cecum,IKO,High,KOH
Ce21,Cecum,flox,Low,WTL
Ce22,Cecum,flox,Low,WTL
Ce23,Cecum,flox,Low,WTL
Ce24,Cecum,IKO,Low,KOL
Ce25,Cecum,IKO,High,KOH
Ce26,Cecum,flox,Low,WTL
Ce27,Cecum,flox,Low,WTL
Ce28,Cecum,IKO,High,KOH
Ce29,Cecum,IKO,Low,KOL
Ce30,Cecum,IKO,High,KOH
Ce31,Cecum,flox,Low,WTL
Ce32,Cecum,IKO,Low,KOL
Ce33,Cecum,flox,Low,WTL
Ce34,Cecum,IKO,High,KOH
Ce35,Cecum,IKO,High,KOH
Ce36,Cecum,IKO,Low,KOL
DL1,Distal_lumen,KO,Low,KOL
DL2,Distal_lumen,KO,High,KOH
DL3,Distal_lumen,KO,Low,KOL
DL4,Distal_lumen,KO,High,KOH
DL5,Distal_lumen,KO,High,KOH
DL6,Distal_lumen,WT,Low,WTL
DL7,Distal_lumen,WT,Low,WTL
DL8,Distal_lumen,KO,High,KOH
DL9,Distal_lumen,WT,Low,WTL
DL10,Distal_lumen,KO,High,KOH
DL11,Distal_lumen,KO,Low,KOL
DL12,Distal_lumen,KO,High,KOH
DL13,Distal_lumen,WT,Low,WTL
DL14,Distal_lumen,KO,Low,KOL
DL15,Distal_lumen,KO,High,KOH
DL16,Distal_lumen,WT,Low,WTL
DL17,Distal_lumen,WT,Low,WTL
DL18,Distal_lumen,KO,Low,KOL
DL19,Distal_lumen,flox,Low,WTL
DL20,Distal_lumen,IKO,High,KOH
DL21,Distal_lumen,flox,Low,WTL
DL22,Distal_lumen,flox,Low,WTL
DL23,Distal_lumen,flox,Low,WTL
DL24,Distal_lumen,IKO,Low,KOL
DL25,Distal_lumen,IKO,High,KOH
DL26,Distal_lumen,flox,Low,WTL
DL27,Distal_lumen,flox,Low,WTL
DL28,Distal_lumen,IKO,High,KOH
DL29,Distal_lumen,IKO,Low,KOL
DL30,Distal_lumen,IKO,High,KOH
DL31,Distal_lumen,flox,Low,WTL
DL32,Distal_lumen,IKO,Low,KOL
DL33,Distal_lumen,flox,Low,WTL
DL34,Distal_lumen,IKO,High,KOH
DL35,Distal_lumen,IKO,High,KOH
DL36,Distal_lumen,IKO,Low,KOL
DS1,Distal_Scraping,KO,Low,KOL
DS2,Distal_Scraping,KO,High,KOH
DS3,Distal_Scraping,KO,Low,KOL
DS4,Distal_Scraping,KO,High,KOH
DS5,Distal_Scraping,KO,High,KOH
DS6,Distal_Scraping,WT,Low,WTL
DS7,Distal_Scraping,WT,Low,WTL
DS8,Distal_Scraping,KO,High,KOH
DS9,Distal_Scraping,WT,Low,WTL
DS10,Distal_Scraping,KO,High,KOH
DS11,Distal_Scraping,KO,Low,KOL
DS12,Distal_Scraping,KO,High,KOH
DS13,Distal_Scraping,WT,Low,WTL
DS14,Distal_Scraping,KO,Low,KOL
DS15,Distal_Scraping,KO,High,KOH
DS16,Distal_Scraping,WT,Low,WTL
DS17,Distal_Scraping,WT,Low,WTL
DS18,Distal_Scraping,KO,Low,KOL
DS19,Distal_Scraping,flox,Low,WTL
DS20,Distal_Scraping,IKO,High,KOH
DS21,Distal_Scraping,flox,Low,WTL
DS22,Distal_Scraping,flox,Low,WTL
DS23,Distal_Scraping,flox,Low,WTL
DS24,Distal_Scraping,IKO,Low,KOL
DS25,Distal_Scraping,IKO,High,KOH
DS26,Distal_Scraping,flox,Low,WTL
DS27,Distal_Scraping,flox,Low,WTL
DS28,Distal_Scraping,IKO,High,KOH
DS29,Distal_Scraping,IKO,Low,KOL
DS30,Distal_Scraping,IKO,High,KOH
DS31,Distal_Scraping,flox,Low,WTL
DS32,Distal_Scraping,IKO,Low,KOL
DS33,Distal_Scraping,flox,Low,WTL
DS34,Distal_Scraping,IKO,High,KOH
DS35,Distal_Scraping,IKO,High,KOH
DS36,Distal_Scraping,IKO,Low,KOL
PL1,Proximal_lumen,KO,Low,KOL
PL2,Proximal_lumen,KO,High,KOH
PL3,Proximal_lumen,KO,Low,KOL
PL4,Proximal_lumen,KO,High,KOH
PL5,Proximal_lumen,KO,High,KOH
PL6,Proximal_lumen,WT,Low,WTL
PL7,Proximal_lumen,WT,Low,WTL
PL8,Proximal_lumen,KO,High,KOH
PL9,Proximal_lumen,WT,Low,WTL
PL10,Proximal_lumen,KO,High,KOH
PL11,Proximal_lumen,KO,Low,KOL
PL12,Proximal_lumen,KO,High,KOH
PL13,Proximal_lumen,WT,Low,WTL
PL14,Proximal_lumen,KO,Low,KOL
PL15,Proximal_lumen,KO,High,KOH
PL16,Proximal_lumen,WT,Low,WTL
PL17,Proximal_lumen,WT,Low,WTL
PL18,Proximal_lumen,KO,Low,KOL
PL19,Proximal_lumen,flox,Low,WTL
PL20,Proximal_lumen,IKO,High,KOH
PL21,Proximal_lumen,flox,Low,WTL
PL22,Proximal_lumen,flox,Low,WTL
PL23,Proximal_lumen,flox,Low,WTL
PL24,Proximal_lumen,IKO,Low,KOL
PL25,Proximal_lumen,IKO,High,KOH
PL26,Proximal_lumen,flox,Low,WTL
PL27,Proximal_lumen,flox,Low,WTL
PL28,Proximal_lumen,IKO,High,KOH
PL29,Proximal_lumen,IKO,Low,KOL
PL30,Proximal_lumen,IKO,High,KOH
PL31,Proximal_lumen,flox,Low,WTL
PL32,Proximal_lumen,IKO,Low,KOL
PL33,Proximal_lumen,flox,Low,WTL
PL34,Proximal_lumen,IKO,High,KOH
PL35,Proximal_lumen,IKO,High,KOH
PL36,Proximal_lumen,IKO,Low,KOL
PS1,Prox_Scraping,KO,Low,KOL
PS2,Prox_Scraping,KO,High,KOH
PS3,Prox_Scraping,KO,Low,KOL
PS4,Prox_Scraping,KO,High,KOH
PS5,Prox_Scraping,KO,High,KOH
PS6,Prox_Scraping,WT,Low,WTL
PS7,Prox_Scraping,WT,Low,WTL
PS8,Prox_Scraping,KO,High,KOH
PS9,Prox_Scraping,WT,Low,WTL
PS10,Prox_Scraping,KO,High,KOH
PS11,Prox_Scraping,KO,Low,KOL
PS12,Prox_Scraping,KO,High,KOH
PS13,Prox_Scraping,WT,Low,WTL
PS14,Prox_Scraping,KO,Low,KOL
PS15,Prox_Scraping,KO,High,KOH
PS16,Prox_Scraping,WT,Low,WTL
PS17,Prox_Scraping,WT,Low,WTL
PS18,Prox_Scraping,KO,Low,KOL
PS19,Prox_Scraping,flox,Low,WTL
PS20,Prox_Scraping,IKO,High,KOH
PS21,Prox_Scraping,flox,Low,WTL
PS22,Prox_Scraping,flox,Low,WTL
PS23,Prox_Scraping,flox,Low,WTL
PS24,Prox_Scraping,IKO,Low,KOL
PS25,Prox_Scraping,IKO,High,KOH
PS26,Prox_Scraping,flox,Low,WTL
PS27,Prox_Scraping,flox,Low,WTL
PS28,Prox_Scraping,IKO,High,KOH
PS29,Prox_Scraping,IKO,Low,KOL
PS30,Prox_Scraping,IKO,High,KOH
PS31,Prox_Scraping,flox,Low,WTL
PS32,Prox_Scraping,IKO,Low,KOL
PS33,Prox_Scraping,flox,Low,WTL
PS34,Prox_Scraping,IKO,High,KOH
PS35,Prox_Scraping,IKO,High,KOH
PS36,Prox_Scraping,IKO,Low,KOL
